GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US35001,676444,21344,533771,16030,37087,241402,35.053628,-106.6690805
0500000US35003,3579,37,3216,23,54,500,33.9016208,-108.3919284
0500000US35005,65157,1225,47971,917,2040,25077,33.3616045,-104.4698374
0500000US35006,27172,284,20758,256,627,6490,34.9282721,-107.9926805
0500000US35007,12387,36,10108,31,110,4458,36.6129638,-104.6401105
0500000US35009,48430,2900,35463,2095,4638,14311,34.5729841,-103.3460546
0500000US35011,1698,8,1360,7,17,504,34.3592729,-104.3686961
0500000US35013,219561,4072,167142,2993,7010,105300,32.349919,-106.8349684
0500000US35015,62314,977,45921,747,1710,21301,32.4578347,-104.3064338
0500000US35017,28185,309,22831,246,596,9990,32.732087,-108.3815043
0500000US35019,4452,74,3586,66,150,2696,34.8697822,-104.7849677
0500000US35021,657,4,561,4,11,235,35.8593523,-103.8534243
0500000US35023,4178,14,3239,12,44,1767,31.8980519,-108.7519293
0500000US35025,74455,2801,52736,2023,4348,29542,32.7956865,-103.4132707
0500000US35027,20269,88,16678,68,205,4648,33.7408411,-105.4498055
0500000US35028,19419,167,15050,130,359,2353,35.8700469,-106.3079679
0500000US35029,25427,304,19118,210,502,11550,32.1845231,-107.7471911
0500000US35031,72902,353,52680,301,790,5990,35.5840616,-108.2532938
0500000US35033,4189,14,3499,13,55,2697,35.9828413,-104.9218975
0500000US35035,67839,2662,52218,2084,4691,18030,32.6155988,-105.7513079
0500000US35037,8746,110,6828,74,170,2717,35.1070184,-103.5480713
0500000US35039,40363,206,31787,162,439,21118,36.5096687,-106.6939829
0500000US35041,19191,504,14440,370,826,5768,34.0212068,-103.4830039
0500000US35043,148834,3327,113956,2431,5750,40291,35.6850913,-106.8831191
0500000US35045,121661,714,89664,504,1387,15477,36.5116245,-108.3245778
0500000US35047,27201,344,21911,284,624,15939,35.4768585,-104.8035189
0500000US35049,154823,1412,127850,1151,2880,56077,35.5145309,-105.9639718
0500000US35051,11576,93,9795,66,157,2436,33.1194684,-107.1881612
0500000US35053,16595,176,13075,123,329,6175,33.9916579,-106.9391362
0500000US35055,34489,173,28445,127,396,13416,36.5771832,-105.6388781
0500000US35057,15045,133,11933,104,261,4521,34.5549784,-105.8905574
0500000US35059,4079,66,3260,60,150,1236,36.4880853,-103.4757229
0500000US35061,76205,973,58139,732,1761,32752,34.7168404,-106.8065821
