full_path,filename,BVAP_reps,Dem_reps,Rep_reps
data\bestruns\LA-county-step-max-90.json,LA-county-step-max-90,1.588552021,1.536910568,4.463089432
results-ALMSLA_step-expmax_LongRun\LA-county-step-max-90.json,LA-county-step-max-90,1.588552021,1.536910568,4.463089432
results-BNPWL\LA-county-BNPWL-6.json,LA-county-BNPWL-6,1.58778927,1.43605249,4.56394751
results-ALMSLA_PWL\LA-county-PWL-10.json,LA-county-PWL-10,1.587390672,1.520735214,4.479264786
results-ALMSLA_step-expmax_LongRun\LA-county-step-exp-90.json,LA-county-step-exp-90,1.583127483,1.464886454,4.535113546
results-ALMSLA_county_step-expmax\LA-county-step-exp-25.json,LA-county-step-exp-25,1.578570822,1.536340822,4.463659178
results-ALMSLA_county_step-expmax\LA-county-step-max-90.json,LA-county-step-max-90,1.574741556,1.425946904,4.574053096
results-ALMSLA_PWL\LA-county-PWL-60.json,LA-county-PWL-60,1.574741556,1.425946904,4.574053096
results-ALMSLA_county_step-expmax\LA-county-step-exp-55.json,LA-county-step-exp-55,1.574201829,1.48559615,4.51440385
results-ALMSLA_county_step-expmax\LA-county-step-exp-40.json,LA-county-step-exp-40,1.571631239,1.375294356,4.624705644
results-BNPWL\LA-county-BNPWL-7.json,LA-county-BNPWL-7,1.569960024,1.259912011,4.740087989
results-ALMSLA_county_step-expmax\LA-county-step-exp-15.json,LA-county-step-exp-15,1.569301142,1.584830015,4.415169985
results-ALMSLA_county_step-expmax\LA-county-step-exp-90.json,LA-county-step-exp-90,1.568208611,1.40441068,4.59558932
results-BNPWL\LA-county-BNPWL-4.json,LA-county-BNPWL-4,1.567795098,1.3699486,4.6300514
results-ALMSLA_county_step-expmax\LA-county-step-max-70.json,LA-county-step-max-70,1.567426184,1.425861491,4.574138509
results-ALMSLA_county_step-expmax\LA-county-step-max-25.json,LA-county-step-max-25,1.566256759,1.589798961,4.410201039
results-ALMSLA_county_step-expmax\LA-county-step-exp-70.json,LA-county-step-exp-70,1.561977458,1.46057625,4.53942375
results-ALMSLA_county_step-expmax\LA-county-step-max-40.json,LA-county-step-max-40,1.561670113,1.464923942,4.535076058
results-ALMSLA_county_step-expmax\LA-county-step-max-55.json,LA-county-step-max-55,1.561518511,1.356097816,4.643902184
results-ALMSLA_county_step-expmax\LA-county-step-exp-10.json,LA-county-step-exp-10,1.525409271,1.480512035,4.519487965
results-ALMSLA_county_step-expmax\LA-county-step-max-5.json,LA-county-step-max-5,1.523042014,1.228179581,4.771820419
results-ALMSLA_county_step-expmax\LA-county-step-max-10.json,LA-county-step-max-10,1.517892783,1.285116561,4.714883439
results-ALMSLA_county_step-expmax\LA-county-step-max-15.json,LA-county-step-max-15,1.515813009,1.303079095,4.696920905
results-ALMSLA_county_step-expmax\LA-county-step-exp-5.json,LA-county-step-exp-5,1.488034976,1.177866883,4.822133117
results-ALMSLASC_county_step-ordered\LA-county-step-ordered-40.json,LA-county-step-ordered-40,1.443672858,1.104505532,4.895494468
results-ALMSLA_PWL\LA-county-PWL_approx-10.json,LA-county-PWL_approx-10,1.435543711,1.230668482,4.769331518
results-ALMSLA_PWL\LA-county-PWL_approx-60.json,LA-county-PWL_approx-60,1.432853718,1.217580584,4.782419416
results-ALMSLASC_county_step-ordered\LA-county-step-ordered-90.json,LA-county-step-ordered-90,1.38842764,0.878192362,5.121807638
results-ALMSLASC_county_step-ordered\LA-county-step-ordered-25.json,LA-county-step-ordered-25,1.382953611,0.927684823,5.072315177
